,Pontos,Terminais,tempo_1,tempo_2,tempo_3,Media_Tempo
0,6,1,0.0,0.0,0.0,0.0
1,6,4,0.0,0.007727146148681641,0.0,0.0025757153828938804
2,11,1,0.0,0.0,0.0,0.0
3,11,4,0.0,0.0,0.0,0.0
4,11,7,0.01600360870361328,0.026888608932495117,0.03137707710266113,0.024756431579589844
5,11,10,0.3684256076812744,0.7454302310943604,0.6881365776062012,0.6006641387939453
6,16,1,0.0,0.0,0.0,0.0
7,16,4,0.0,0.0031266212463378906,0.0,0.0010422070821126301
8,16,7,0.02411794662475586,0.08627009391784668,0.07841324806213379,0.06293376286824544
9,16,10,0.38457274436950684,1.2247388362884521,0.9573683738708496,0.8555599848429362
10,16,13,11.794142246246338,13.022684097290039,13.114243507385254,12.64368995030721
